Supplier name,Product type,Lead time,Order quantities,Price,Manufacturing costs
ClearPath Logistics,Snacks,2,1122,4.25,1.98
SteadyStock Inc,Baby Products,11,1739,33.56,13.61
GreenRoute Suppliers,Pet Food,17,663,11.58,7.52
EasySupply Hub,Chips,7,1602,35.43,20.8
QuickShip Logistics,Biscuits,2,234,31.81,19.14
TopShelf Trading,Cooking Oils,21,1305,6.63,3.93
PrimePack Solutions,Chips,11,911,40.7,16.76
FreshLink Trading,Bakery Items,19,368,25.57,17.85
ReliableSource Co,Bakery Items,10,940,41.3,23.83
QuickShip Logistics,Dairy Products,6,106,36.72,23.79
RapidStock Co,Baby Products,3,802,27.72,14.29
EasySupply Hub,Personal Care,15,1373,26.72,11.92
RapidStock Co,Rice,8,1192,30.89,19.04
SwiftDelivery Co,Personal Care,11,1865,8.42,4.63
TrustTrade Global,Cereals,17,1523,22.35,11.0
AllGoods Wholesale,Cleaning Products,12,159,33.48,13.49
BrightStar Distributors,Frozen Foods,16,1022,35.88,21.71
FreshLink Trading,Tea,20,468,36.91,19.2
SwiftDelivery Co,Snacks,12,771,10.11,5.33
BestValue Suppliers,Dry Fruits,6,619,38.99,23.25
DirectSource Ltd,Personal Care,18,553,31.56,13.98
AllGoods Wholesale,Health Supplements,16,1611,32.27,18.61
FastTrack Commerce,Baby Products,18,1851,30.47,17.39
ValueChain Partners,Dry Fruits,4,1691,8.96,5.0
EasySupply Hub,Tea,7,1087,22.71,10.84
MaxFlow Trading,Biscuits,14,1932,28.32,11.77
Metro Distributors,Tea,14,1493,39.43,25.05
BestValue Suppliers,Sauces,21,1676,18.07,8.22
BrightStar Distributors,Rice,5,1573,15.28,7.12
ClearPath Logistics,Chocolate,3,338,2.29,0.93
FreshLink Trading,Health Supplements,2,992,36.55,20.83
BulkBuy Wholesale,Dry Fruits,10,560,35.72,16.95
City Supply Co,Frozen Foods,15,796,20.54,13.9
DirectSource Ltd,Dry Fruits,14,504,36.32,17.99
FreshLink Trading,Chips,8,807,10.59,4.44
FreshLink Trading,Beverages,5,1523,15.56,7.63
TrustTrade Global,Tea,9,1842,5.49,2.56
City Supply Co,Health Supplements,3,1532,31.83,13.36
ClearPath Logistics,Health Supplements,16,613,26.17,11.19
NetWorth Distributors,Cooking Oils,15,1998,2.71,1.49
FastTrack Commerce,Beverages,7,1982,6.01,4.09
SteadyStock Inc,Tea,8,978,10.77,7.0
ProPack Trading,Cleaning Products,3,220,38.1,25.24
QuickShip Logistics,Personal Care,11,1208,8.97,4.01
PeakPerform Supply,Biscuits,21,1796,8.38,5.53
BrightStar Distributors,Personal Care,10,81,44.25,23.22
GreenRoute Suppliers,Chocolate,14,735,13.24,8.05
EasySupply Hub,Sauces,3,400,41.33,20.41
FreshLink Trading,Pasta,9,749,25.1,10.35
ValueChain Partners,Coffee,4,181,37.61,23.07
Metro Distributors,Snacks,11,744,3.79,2.53
BrightStar Distributors,Cereals,4,1499,6.39,4.37
BestValue Suppliers,Cleaning Products,15,169,37.63,16.76
TrustTrade Global,Dry Fruits,8,1686,40.16,26.45
MaxFlow Trading,Pet Food,17,1042,27.9,14.65
SteadyStock Inc,Spices,10,1919,23.36,15.59
TrustTrade Global,Canned Goods,12,1017,16.72,10.89
PrimePack Solutions,Frozen Foods,11,870,39.12,24.53
TrustTrade Global,Chips,10,1407,33.96,18.68
CoreSupply Partners,Bakery Items,17,741,38.59,25.62
BrightStar Distributors,Chocolate,7,1071,35.31,15.28
QuickShip Logistics,Rice,19,1192,37.49,16.09
City Supply Co,Cooking Oils,19,93,42.71,24.36
ClearPath Logistics,Spices,13,1914,22.82,12.94
TrustTrade Global,Coffee,19,831,38.49,19.16
City Supply Co,Pasta,10,1553,14.1,9.46
ReliableSource Co,Pasta,6,1328,43.82,20.95
BulkBuy Wholesale,Baby Products,14,1061,35.91,14.57
AllGoods Wholesale,Snacks,13,1786,3.4,1.69
QuickShip Logistics,Cereals,16,1420,23.76,12.46
CoreSupply Partners,Frozen Foods,15,1094,12.46,7.29
NetWorth Distributors,Snacks,11,342,12.58,6.58
RapidStock Co,Personal Care,18,288,14.32,9.48
TrueValue Wholesale,Beverages,16,832,30.19,12.79
TopShelf Trading,Beverages,3,928,24.77,16.61
FastTrack Commerce,Fresh Juice,13,1231,22.05,13.26
FastTrack Commerce,Dry Fruits,16,851,19.38,8.36
City Supply Co,Spices,10,298,39.15,24.86
MegaStock Inc,Snacks,2,1681,23.0,9.3
SafeShip Co,Tea,13,1601,43.33,26.57
AllGoods Wholesale,Beverages,2,1891,21.02,11.39
ValueChain Partners,Frozen Foods,18,631,43.87,22.32
EasySupply Hub,Bakery Items,18,1330,20.11,10.96
MaxFlow Trading,Snacks,15,926,22.73,13.78
BestValue Suppliers,Baby Products,7,1685,37.5,21.22
FastTrack Commerce,Rice,20,1819,6.6,3.05
TopShelf Trading,Chips,6,276,17.26,9.25
PrimePack Solutions,Baby Products,13,1324,22.61,10.55
EasySupply Hub,Tea,10,1657,31.43,21.01
ClearPath Logistics,Chips,5,399,31.38,12.98
RapidStock Co,Chips,10,1705,13.97,7.54
ReliableSource Co,Pet Food,14,1260,33.45,18.73
SteadyStock Inc,Biscuits,2,235,9.17,5.8
MegaStock Inc,Pet Food,14,1683,7.11,3.98
EasySupply Hub,Bakery Items,2,1810,25.83,10.63
SwiftDelivery Co,Coffee,3,1672,4.54,2.37
TopShelf Trading,Frozen Foods,3,1555,29.94,18.43
NetWorth Distributors,Snacks,9,1896,17.67,8.85
SwiftDelivery Co,Dry Fruits,5,701,6.86,3.65
TrustTrade Global,Pet Food,4,942,32.18,14.34
RapidStock Co,Sauces,13,1159,38.89,26.33
BrightStar Distributors,Condiments,14,1802,44.43,19.54
SwiftDelivery Co,Cereals,14,1101,22.74,15.41
MaxFlow Trading,Snacks,21,353,9.23,6.11
SwiftDelivery Co,Snacks,19,1985,41.25,21.29
ValueChain Partners,Beverages,21,949,25.82,17.54
PeakPerform Supply,Condiments,19,1069,41.14,26.54
AllGoods Wholesale,Condiments,11,1876,6.6,2.75
City Supply Co,Cleaning Products,2,945,18.44,10.36
SmartSource Inc,Rice,9,1794,32.45,20.86
RapidStock Co,Cereals,2,1599,1.75,0.93
FastTrack Commerce,Health Supplements,12,1763,29.78,15.61
SafeShip Co,Biscuits,21,1476,38.59,22.71
ReliableSource Co,Snacks,14,615,26.09,17.08
FastTrack Commerce,Coffee,13,1327,36.16,17.55
NetWorth Distributors,Dry Fruits,3,1351,37.62,18.6
AllGoods Wholesale,Cereals,3,588,21.94,9.61
TopShelf Trading,Chocolate,20,98,8.45,4.53
ValueChain Partners,Cooking Oils,5,435,1.69,1.15
City Supply Co,Spices,3,1887,38.66,25.84
AllGoods Wholesale,Spices,17,722,14.5,6.71
AllGoods Wholesale,Chocolate,2,1159,13.8,7.53
Metro Distributors,Sauces,7,1095,8.66,4.31
Metro Distributors,Tea,7,755,15.19,6.91
SwiftDelivery Co,Health Supplements,6,1148,17.19,8.52
SwiftDelivery Co,Snacks,5,436,15.83,7.53
FreshLink Trading,Dairy Products,16,1182,23.69,14.26
CoreSupply Partners,Cooking Oils,2,1523,17.22,7.96
SteadyStock Inc,Dry Fruits,5,1846,24.58,11.8
SmartSource Inc,Beverages,13,1583,5.53,2.69
BulkBuy Wholesale,Beverages,2,1058,12.74,8.63
ValueChain Partners,Baby Products,13,188,15.91,9.13
TrueValue Wholesale,Condiments,8,1692,35.07,19.0
SafeShip Co,Dry Fruits,6,1656,35.18,20.0
ReliableSource Co,Chips,10,967,11.34,6.12
BestValue Suppliers,Condiments,3,1211,42.2,25.42
PrimePack Solutions,Condiments,21,149,17.83,7.41
EasySupply Hub,Condiments,15,1711,3.47,1.47
DirectSource Ltd,Bakery Items,8,1027,10.43,6.82
BestValue Suppliers,Dairy Products,6,1371,15.11,10.52
FreshLink Trading,Chips,9,1880,20.22,11.6
SteadyStock Inc,Condiments,15,659,10.53,5.56
ClearPath Logistics,Health Supplements,8,222,30.11,20.18
MegaStock Inc,Health Supplements,21,1672,13.68,9.38
AllGoods Wholesale,Pet Food,5,803,2.88,1.62
MegaStock Inc,Bakery Items,11,831,32.0,20.38
TrueValue Wholesale,Bakery Items,19,966,28.36,16.27
ReliableSource Co,Fresh Juice,9,541,43.94,27.59
BulkBuy Wholesale,Condiments,2,625,8.27,5.35
FastTrack Commerce,Cereals,18,1125,28.96,13.66
ClearPath Logistics,Chips,14,58,34.93,17.37
BestValue Suppliers,Baby Products,6,1065,2.2,0.88
CoreSupply Partners,Rice,9,1636,37.82,25.53
TrueValue Wholesale,Sauces,15,1104,14.69,6.05
ProPack Trading,Cleaning Products,6,846,3.36,1.51
MegaStock Inc,Coffee,18,1291,19.7,10.4
EasySupply Hub,Chocolate,2,780,10.42,7.28
GreenRoute Suppliers,Chocolate,3,1776,25.63,14.3
BulkBuy Wholesale,Condiments,8,1858,38.67,22.01
Metro Distributors,Dairy Products,21,1682,44.7,25.15
DirectSource Ltd,Tea,17,153,28.94,15.63
QuickShip Logistics,Chocolate,14,333,6.04,3.44
ClearPath Logistics,Cleaning Products,15,1769,9.68,5.21
TrueValue Wholesale,Personal Care,7,1085,29.73,12.5
EasySupply Hub,Biscuits,20,843,1.99,1.02
ReliableSource Co,Sauces,18,1444,41.0,17.18
TrueValue Wholesale,Frozen Foods,17,1254,3.54,2.19
PrimePack Solutions,Cooking Oils,7,1164,30.73,15.77
SmartSource Inc,Beverages,15,1168,35.27,21.28
BestValue Suppliers,Canned Goods,7,1342,13.92,8.35
BestValue Suppliers,Tea,21,956,1.86,0.81
AllGoods Wholesale,Snacks,18,484,13.0,8.03
BestValue Suppliers,Biscuits,13,1862,33.06,15.78
SmartSource Inc,Tea,19,1224,3.44,2.22
ValueChain Partners,Biscuits,9,444,12.59,8.44
MegaStock Inc,Biscuits,14,1929,31.6,21.32
TopShelf Trading,Canned Goods,14,172,9.45,4.39
ClearPath Logistics,Chocolate,2,914,32.09,20.03
EasySupply Hub,Rice,3,705,41.6,24.2
RapidStock Co,Coffee,11,505,29.36,16.42
BrightStar Distributors,Biscuits,2,1774,32.07,17.11
PrimePack Solutions,Cleaning Products,12,1495,41.61,19.66
QuickShip Logistics,Canned Goods,15,1555,39.64,22.11
ProPack Trading,Beverages,11,1883,4.99,3.17
MegaStock Inc,Coffee,19,1996,29.19,13.73
BrightStar Distributors,Tea,8,1513,4.89,3.16
QuickShip Logistics,Coffee,12,844,44.23,21.28
BestValue Suppliers,Dry Fruits,10,1529,12.46,5.72
QuickShip Logistics,Coffee,19,375,21.06,12.99
City Supply Co,Cooking Oils,21,1028,19.27,8.49
SmartSource Inc,Rice,2,1937,41.1,22.86
SafeShip Co,Sauces,10,1886,2.09,0.91
NetWorth Distributors,Tea,11,882,43.72,19.31
BestValue Suppliers,Dry Fruits,17,1096,30.31,19.78
MegaStock Inc,Cleaning Products,6,697,40.78,24.44
DirectSource Ltd,Canned Goods,10,734,25.96,13.67
NetWorth Distributors,Frozen Foods,21,415,26.41,11.0
NetWorth Distributors,Frozen Foods,6,1521,19.77,11.56
City Supply Co,Fresh Juice,2,252,15.18,9.59
QuickShip Logistics,Cereals,18,385,20.57,13.93
FastTrack Commerce,Biscuits,15,1424,24.88,11.58
FastTrack Commerce,Dry Fruits,6,1695,10.33,5.79
CoreSupply Partners,Dry Fruits,18,849,7.5,3.81
ReliableSource Co,Pasta,15,1379,23.29,12.26
RapidStock Co,Fresh Juice,15,227,4.13,2.1
SwiftDelivery Co,Coffee,10,1363,25.63,14.55
DirectSource Ltd,Condiments,17,1384,41.78,25.56
PeakPerform Supply,Pet Food,20,379,19.35,10.53
TopShelf Trading,Cooking Oils,2,1376,18.85,7.84
FreshLink Trading,Canned Goods,15,894,38.99,25.6
TopShelf Trading,Snacks,20,1687,20.38,9.89
MaxFlow Trading,Snacks,20,1907,38.79,15.59
BestValue Suppliers,Bakery Items,15,853,16.97,10.18
SteadyStock Inc,Spices,11,745,42.51,28.93
FastTrack Commerce,Snacks,3,246,22.14,12.3
ValueChain Partners,Sauces,6,1390,33.48,18.32
DirectSource Ltd,Pet Food,7,1697,37.27,25.1
MegaStock Inc,Frozen Foods,6,746,30.44,17.2
SmartSource Inc,Tea,8,165,23.21,15.96
PrimePack Solutions,Bakery Items,15,862,17.75,11.22
TrustTrade Global,Chips,5,143,34.1,14.24
AllGoods Wholesale,Personal Care,14,1588,40.98,27.02
PeakPerform Supply,Coffee,4,487,30.6,14.56
TopShelf Trading,Canned Goods,13,118,42.85,22.37
PrimePack Solutions,Canned Goods,16,911,41.0,19.56
DirectSource Ltd,Chips,11,1612,30.71,15.4
TrueValue Wholesale,Fresh Juice,13,174,38.36,26.54
DirectSource Ltd,Coffee,17,1426,38.47,16.31
EasySupply Hub,Beverages,7,1091,17.77,10.16
SwiftDelivery Co,Condiments,19,1150,32.87,16.53
BestValue Suppliers,Cleaning Products,19,1060,41.65,23.7
BrightStar Distributors,Frozen Foods,3,583,32.98,19.85
ReliableSource Co,Spices,7,1666,43.45,27.0
PeakPerform Supply,Frozen Foods,9,151,36.55,15.71
TrueValue Wholesale,Pasta,9,91,41.1,19.47
BulkBuy Wholesale,Dry Fruits,17,987,32.16,15.71
CoreSupply Partners,Rice,9,516,35.24,24.41
RapidStock Co,Health Supplements,11,756,31.04,17.31
TrueValue Wholesale,Coffee,11,1848,32.27,15.76
SteadyStock Inc,Coffee,16,315,12.89,7.62
TrustTrade Global,Baby Products,10,1920,28.49,12.68
SteadyStock Inc,Baby Products,18,482,30.28,14.8
RapidStock Co,Beverages,15,972,28.81,18.37
SteadyStock Inc,Dairy Products,2,115,27.44,14.62
DirectSource Ltd,Rice,7,1306,23.59,13.53
FastTrack Commerce,Dairy Products,14,1352,12.8,5.59
SmartSource Inc,Canned Goods,15,778,23.51,16.18
ProPack Trading,Pet Food,3,1933,39.2,17.8
SmartSource Inc,Chips,4,53,16.39,8.34
RapidStock Co,Chips,20,231,17.23,11.28
SmartSource Inc,Baby Products,10,518,13.01,9.06
ReliableSource Co,Sauces,13,289,29.8,20.81
FastTrack Commerce,Rice,8,1932,13.04,5.43
SteadyStock Inc,Tea,2,1102,35.09,18.4
TopShelf Trading,Condiments,4,1975,33.42,19.29
BestValue Suppliers,Cleaning Products,11,538,15.54,8.31
BrightStar Distributors,Cleaning Products,10,1804,15.69,6.37
ProPack Trading,Condiments,5,369,24.25,10.23
QuickShip Logistics,Dairy Products,7,855,14.92,6.65
ClearPath Logistics,Chocolate,4,704,12.64,7.97
AllGoods Wholesale,Chocolate,20,495,34.87,20.6
NetWorth Distributors,Snacks,17,169,17.59,7.19
Metro Distributors,Dry Fruits,13,1989,29.57,12.01
TrustTrade Global,Canned Goods,14,1419,10.95,5.84
PrimePack Solutions,Pasta,8,316,20.09,10.77
Metro Distributors,Pet Food,17,1291,24.35,11.61
ProPack Trading,Snacks,17,1101,28.54,18.19
SteadyStock Inc,Cleaning Products,9,953,27.79,15.43
ProPack Trading,Personal Care,12,383,31.97,19.04
BestValue Suppliers,Chips,21,940,37.86,17.36
RapidStock Co,Bakery Items,18,665,17.24,8.28
SteadyStock Inc,Personal Care,20,1166,30.8,21.39
TrueValue Wholesale,Cooking Oils,16,1520,40.23,17.95
PrimePack Solutions,Sauces,6,1570,27.8,11.96
MaxFlow Trading,Cooking Oils,5,696,27.74,15.9
PrimePack Solutions,Coffee,11,964,38.57,21.72
BrightStar Distributors,Coffee,5,789,29.46,18.28
GreenRoute Suppliers,Condiments,4,1376,20.9,14.26
FastTrack Commerce,Dairy Products,8,1363,14.5,7.95
ReliableSource Co,Sauces,4,1312,37.69,23.55
SteadyStock Inc,Tea,14,788,28.92,12.8
MaxFlow Trading,Beverages,2,1659,3.39,1.86
EasySupply Hub,Rice,21,1629,25.99,17.32
PeakPerform Supply,Chocolate,16,165,34.93,17.65
TopShelf Trading,Canned Goods,12,515,23.8,14.17
SteadyStock Inc,Cleaning Products,15,445,5.66,3.45
MegaStock Inc,Condiments,17,1759,40.54,28.21
GreenRoute Suppliers,Frozen Foods,19,1007,29.07,19.54
ClearPath Logistics,Frozen Foods,17,637,30.89,19.71
CoreSupply Partners,Frozen Foods,7,859,41.12,24.79
ProPack Trading,Spices,8,231,4.84,3.22
PrimePack Solutions,Personal Care,10,1605,36.0,20.22
BulkBuy Wholesale,Personal Care,2,960,15.64,9.08
BrightStar Distributors,Bakery Items,11,1813,29.82,14.17
BestValue Suppliers,Pasta,5,1265,32.23,16.52
ValueChain Partners,Spices,20,1605,34.68,17.87
TopShelf Trading,Pasta,8,1182,13.59,9.37
TrueValue Wholesale,Health Supplements,6,1620,22.95,15.66
FreshLink Trading,Cooking Oils,16,1798,41.67,24.99
EasySupply Hub,Chocolate,12,61,29.65,12.38
ClearPath Logistics,Bakery Items,19,369,16.71,9.92
QuickShip Logistics,Beverages,8,233,29.91,15.86
BulkBuy Wholesale,Beverages,17,777,26.69,12.87
PeakPerform Supply,Baby Products,13,898,20.19,13.6
BestValue Suppliers,Fresh Juice,14,1541,21.47,11.01
Metro Distributors,Dairy Products,12,161,32.66,15.36
Metro Distributors,Pet Food,4,52,44.45,23.01
SwiftDelivery Co,Spices,16,825,31.71,17.07
EasySupply Hub,Cleaning Products,14,792,33.95,22.57
BrightStar Distributors,Canned Goods,20,1366,22.23,15.39
FreshLink Trading,Pet Food,3,741,1.62,0.9
BestValue Suppliers,Beverages,6,544,12.1,7.06
DirectSource Ltd,Fresh Juice,7,290,15.01,8.19
Metro Distributors,Fresh Juice,5,1765,17.82,11.58
FastTrack Commerce,Tea,9,1762,37.84,15.28
GreenRoute Suppliers,Pet Food,11,387,25.13,10.05
ProPack Trading,Health Supplements,18,193,29.12,18.92
BulkBuy Wholesale,Chips,8,177,42.15,27.02
TrustTrade Global,Bakery Items,13,1826,3.94,1.71
PeakPerform Supply,Snacks,15,865,6.8,3.95
FastTrack Commerce,Fresh Juice,16,168,15.93,6.65
QuickShip Logistics,Bakery Items,16,1395,38.03,22.51
ClearPath Logistics,Coffee,16,1296,20.24,9.33
BestValue Suppliers,Chips,11,894,20.78,11.85
BestValue Suppliers,Sauces,3,1175,21.56,12.61
PeakPerform Supply,Dairy Products,6,356,27.82,18.89
FastTrack Commerce,Beverages,18,1421,34.17,19.21
DirectSource Ltd,Health Supplements,17,976,38.45,21.6
TrueValue Wholesale,Chocolate,6,574,35.33,18.96
BestValue Suppliers,Sauces,18,1567,18.54,11.23
PrimePack Solutions,Tea,10,1935,23.35,15.92
FastTrack Commerce,Beverages,3,1217,32.52,13.64
MegaStock Inc,Pasta,17,1717,15.98,11.13
Metro Distributors,Bakery Items,8,1794,34.61,23.62
TrustTrade Global,Tea,6,1538,30.12,12.64
MegaStock Inc,Sauces,16,1616,33.34,23.01
ValueChain Partners,Beverages,19,376,40.92,18.61
DirectSource Ltd,Pet Food,14,681,42.31,25.08
PeakPerform Supply,Bakery Items,9,970,4.97,3.17
City Supply Co,Chips,10,1422,29.33,17.57
MaxFlow Trading,Condiments,5,815,40.92,21.38
FastTrack Commerce,Coffee,19,225,36.14,15.74
TopShelf Trading,Dry Fruits,4,796,6.12,3.78
SafeShip Co,Cereals,14,1703,26.74,10.88
ValueChain Partners,Tea,21,148,14.72,9.13
DirectSource Ltd,Dry Fruits,10,172,34.99,21.16
AllGoods Wholesale,Dairy Products,12,251,27.81,12.98
ValueChain Partners,Canned Goods,17,1196,26.06,11.15
SteadyStock Inc,Health Supplements,4,1324,44.02,19.73
MaxFlow Trading,Biscuits,21,161,2.42,1.33
EasySupply Hub,Personal Care,3,1361,19.89,13.46
FreshLink Trading,Rice,11,1811,5.01,3.35
EasySupply Hub,Baby Products,14,246,5.97,3.75
ClearPath Logistics,Canned Goods,21,619,8.6,3.45
ReliableSource Co,Coffee,3,1190,43.65,21.94
SmartSource Inc,Baby Products,13,1185,8.18,5.72
Metro Distributors,Pasta,21,1376,22.36,13.72
RapidStock Co,Health Supplements,12,1487,22.56,10.95
Metro Distributors,Snacks,9,170,10.08,5.14
BrightStar Distributors,Chocolate,15,239,20.96,12.09
BestValue Suppliers,Fresh Juice,7,1633,8.13,4.01
DirectSource Ltd,Cleaning Products,16,908,12.98,8.93
BestValue Suppliers,Pasta,20,1776,16.56,9.14
GreenRoute Suppliers,Frozen Foods,13,204,27.56,11.34
Metro Distributors,Canned Goods,14,525,10.73,7.29
PeakPerform Supply,Canned Goods,6,957,41.49,22.65
CoreSupply Partners,Coffee,3,1138,15.74,7.74
ClearPath Logistics,Frozen Foods,15,1086,9.0,5.27
BrightStar Distributors,Cooking Oils,13,590,10.14,4.9
AllGoods Wholesale,Frozen Foods,4,543,24.23,9.72
QuickShip Logistics,Spices,12,1027,19.13,9.24
QuickShip Logistics,Personal Care,13,1831,43.87,20.32
AllGoods Wholesale,Pet Food,13,804,36.56,17.35
ReliableSource Co,Condiments,17,790,2.11,1.32
BestValue Suppliers,Coffee,9,290,21.63,14.47
PeakPerform Supply,Spices,6,1445,44.16,20.58
ValueChain Partners,Cereals,10,1480,7.8,4.85
RapidStock Co,Cooking Oils,17,1671,26.56,14.07
EasySupply Hub,Frozen Foods,19,63,22.85,15.22
SwiftDelivery Co,Beverages,2,910,32.36,21.26
MegaStock Inc,Pet Food,12,1525,24.26,16.97
DirectSource Ltd,Chocolate,7,1305,40.32,16.63
SteadyStock Inc,Personal Care,19,376,24.09,10.99
BrightStar Distributors,Cooking Oils,18,952,34.06,19.52
SteadyStock Inc,Baby Products,16,97,34.83,23.09
PrimePack Solutions,Cleaning Products,13,1829,23.54,12.69
GreenRoute Suppliers,Sauces,2,1122,4.13,2.09
BulkBuy Wholesale,Personal Care,6,906,7.75,3.57
SafeShip Co,Personal Care,4,887,44.72,22.9
Metro Distributors,Dairy Products,4,807,10.11,4.46
NetWorth Distributors,Baby Products,2,1638,10.85,5.32
QuickShip Logistics,Rice,16,1026,41.73,26.17
SteadyStock Inc,Health Supplements,19,1093,31.8,16.74
BrightStar Distributors,Coffee,4,534,44.45,30.95
RapidStock Co,Biscuits,17,66,24.34,16.03
SafeShip Co,Spices,9,1086,9.52,6.48
AllGoods Wholesale,Baby Products,4,1684,9.15,4.07
MaxFlow Trading,Pet Food,9,1399,39.3,20.32
PeakPerform Supply,Spices,16,1458,34.03,22.24
CoreSupply Partners,Cleaning Products,17,1672,34.55,16.62
DirectSource Ltd,Spices,5,374,28.74,19.49
BulkBuy Wholesale,Frozen Foods,6,74,25.06,16.62
